hoax,edar,pesan,sosial,media,informasi,sebar,kabar,berita,beranta,benar,bohong,kandung,broadcast,lansir,whatsapp,resah,viral,tidak,isu,presiden,tulis,isi,bahwa,id,kamis,masyarakat,jakarta,co,com,makan,palsu,info,hoaks,joko,imbau,widodo,khoax
0.011667,0.011104,0.007283,0.007283,0.006414,0,0,0,0,0,0.006869,0,0,0,0,0,0,0,0.008835,0.029056,0,0,0.009828,0,0,0,0,0,0,0,0,0,0.027395,0,0,0,0,hoax
0.007921,0.003769,0.034612,0.004945,0.004354,0.011432,0.030384,0.005284,0,0,0.004663,0,0.008365,0,0,0.018181,0,0,0.007998,0,0,0.005554,0,0,0,0,0.003473,0,0,0,0,0.007444,0,0,0,0,0,hoax
0.027797,0,0,0.013882,0.012225,0.005349,0,0.051921,0.007327,0,0.006546,0,0,0,0.010626,0,0,0.023258,0.002807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.007947,0.015128,0.059533,0.019844,0.026214,0,0.030486,0,0.052371,0.047607,0,0.07115,0.033571,0.035317,0.01519,0,0,0,0,0,0.056806,0.011146,0,0.011972,0,0,0.00697,0.009038,0,0,0,0,0,0,0.029386,0,0.02846,hoax
0.013769,0.006552,0,0.008595,0.007569,0,0,0,0.009074,0,0,0,0,0,0,0,0,0.028802,0.006952,0,0,0,0,0.010371,0,0,0,0.00783,0,0,0.012625,0.025879,0,0,0,0,0,hoax
0.02153,0.051228,0.01344,0.01344,0.011836,0,0,0.014363,0,0.021495,0.012676,0,0,0.023919,0,0,0.023919,0,0,0.089369,0,0,0,0.016216,0,0.012176,0.009441,0,0,0.025961,0,0,0,0,0,0,0,hoax
0,0,0.012529,0.012529,0,0,0,0.013389,0.026452,0,0,0.017968,0,0,0,0,0,0,0.005066,0,0,0,0,0.015117,0,0,0,0,0,0.008067,0,0,0,0.074206,0,0,0,hoax
0.020959,0,0,0,0,0,0,0,0.013811,0,0,0,0,0,0,0,0,0,0.010581,0.052198,0,0,0,0,0,0,0,0.005959,0,0.008424,0,0,0,0,0,0,0,hoax
0.015895,0,0,0,0,0,0,0,0.010474,0,0,0,0,0,0,0,0,0,0.016049,0.039586,0,0,0,0,0.033571,0,0.00697,0,0.040211,0,0.014574,0,0,0,0,0,0,hoax
0,0.04508,0,0.029568,0.026039,0.034183,0.015141,0,0.015606,0,0,0.021203,0.075031,0,0,0,0,0,0,0,0,0,0,0.017838,0,0,0.010385,0,0,0.009519,0.021716,0.022256,0,0.087563,0,0,0,hoax
0.018218,0.023118,0,0.007582,0.006677,0.040903,0.023294,0.008102,0.016007,0,0,0,0.064129,0,0,0.013939,0,0.038107,0.003066,0,0,0,0,0,0,0,0,0.003453,0,0,0,0,0,0,0,0,0,hoax
0.059634,0,0,0,0,0.040987,0.065358,0,0.022455,0,0,0,0,0,0,0,0.018929,0,0.012903,0,0,0,0,0.012833,0,0,0.014942,0.009688,0,0.013697,0,0.016012,0.040009,0,0,0,0,hoax
0.035884,0.025614,0,0.0336,0.02959,0,0.011471,0.047875,0.035469,0,0,0.016063,0,0,0.017147,0,0,0.018765,0.004529,0,0,0.012581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.041918,0.019947,0.052333,0.03925,0.034565,0.060501,0.013399,0,0.013811,0,0.037018,0.018763,0,0,0,0,0,0,0.021162,0,0,0,0,0,0,0,0.01838,0,0,0.008424,0,0,0,0,0,0,0,hoax
0.021929,0.010435,0.041067,0.013689,0.012055,0.021101,0.028039,0.014629,0.028901,0,0.025821,0.039264,0,0.073086,0,0.025168,0,0,0.005536,0,0,0,0,0,0,0,0.019231,0.012469,0,0.008814,0,0.020608,0,0,0,0,0,hoax
0,0.007271,0,0.019076,0.016799,0.014702,0,0,0.010069,0,0.017991,0,0,0,0,0,0,0.03196,0.003857,0.012685,0,0,0,0,0,0,0.013399,0,0,0,0,0,0,0,0,0,0,hoax
0.044268,0.021066,0.041451,0,0,0,0.014151,0.02953,0.058342,0.044196,0.013031,0,0,0,0,0,0.02459,0,0,0.055125,0,0,0,0,0,0.012518,0.009705,0.025172,0,0.008896,0,0,0,0,0,0,0,hoax
0,0.007719,0,0,0,0.007804,0,0,0,0,0,0,0.051391,0,0,0,0,0,0,0,0,0.011375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.026711,0,0,0.011116,0.009789,0.008567,0,0,0,0,0.010484,0,0,0,0,0,0,0.037247,0,0,0,0.012487,0.015001,0.013412,0.018805,0,0,0.005063,0,0,0,0.016734,0,0,0,0,0,hoax
0.022343,0.021264,0.013947,0.013947,0.012283,0,0.014284,0.044714,0,0.022306,0,0.020002,0.023595,0,0,0,0,0,0.00564,0.018548,0,0,0,0,0.023595,0,0,0,0,0.00898,0.020486,0,0,0,0,0,0,hoax
0.007542,0.021535,0.009417,0.009417,0.008293,0,0.019288,0,0,0.01506,0,0,0.04779,0,0,0,0,0,0.003808,0.050092,0,0.010578,0,0.011362,0.01593,0,0,0,0,0,0.027663,0,0,0,0,0,0,hoax
